# B2-B0 static text fixture manifest v1. Columns: id	path	sha256	class	surface	provenance	expected	rationale
# Exact raw binary fixtures and byte lengths are in raw-manifest.tsv and are verified together.
P01	positive/P01-simple.patch	6bf659d39871fb1c6c07b28bdb9d587e0cc450004aba8b0eaceae0fcd3acdebe	positive	unstaged	manual	Extractable file.txt; hunk 1,2=>1,2; Context keep, Deletion old, Addition new; LF/LF/LF; +1/-1	basic mapping
P02	positive/P02-empty-and-prefixes.patch	941e1b024132b1230092945842b52e422a7426e87e8446560f18f4a88a218c43	positive	unstaged	manual	Extractable; empty context and literal prefix payloads	prefix protection and empty record
P03	positive/P03-multiple-hunks.patch	0711a5c25da178f700b77aeb4c51083498964dcb1b30473ddfd21fd7beb4cd33	positive	staged	manual	Extractable; hunks (1,1),(10,10); +2/-2	ordered hunks
P04	positive/P04-omitted-count.patch	b07bee2453bf0a6ea7bb289f51d8caee469332eb019b3fe5b57d07b1f945fbc4	positive	unstaged	manual	Extractable; omitted counts equal one	omitted count
P05	positive/P05-zero-range-addition.patch	c971e1d74ace3a32048a1c8f2793960b8c1374c58fe634ea0c45b509ff1a4d1f	positive	staged	manual	Extractable addition; old mode None, new 100644; /dev/null old; +1	addition zero range
P06	positive/P06-zero-range-deletion.patch	51081c589b2af8eae23c6336acb512f5dcf8d7656e41dae5099cc2f23e49a1d5	positive	staged	manual	Extractable deletion; old 100644, new None; /dev/null new; -1	deletion zero range
P07	positive/P07-crlf.patch	627a7d292b06465c65994ce62348a78f2dda948b6fb1127ff27627a17f88f5e0	positive	unstaged	manual-transcript	Illustrative CRLF transcript; byte-exact P13-crlf-valid.bin is authoritative	human-readable companion
P08	positive/P08-old-no-final-newline.patch	d8958a67b4c05ee12ffab75de90adff72252d2bdbbc9799620d9adcd173cbf3e	positive	unstaged	empirical-git-2.48.1	Deletion old=None marker old; Addition new=Lf	old missing final newline
P09	positive/P09-new-no-final-newline.patch	55bdeb39adead95205726ea15b285a1e3246fe29107b0534bb4a1db19b0ab5bf	positive	unstaged	empirical-git-2.48.1	Deletion old=Lf; Addition new=None marker new	new missing final newline
P10	positive/P10-both-no-final-newline.patch	677ef33e34d3fdda332bba7de020c592130b077bbd1d66d6f203f4d1b254e2a1	positive	unstaged	empirical-git-2.48.1	Deletion old=None marker old; Addition new=None marker new	both missing terminators
