# id	path	sha256	bytes	class	provenance	expected	dangerous-offset	rationale
N20-utf8-lone-continuation	raw/N20-utf8-lone-continuation.bin	9814b6664a90fc62b9e263ec29efa3388991cf9dd975266720646cf961923742	177	negative	manual-adversarial	MalformedOutput	175	byte-exact hostile input generated from reviewed Python bytes
N21-utf8-truncated	raw/N21-utf8-truncated.bin	a3c9662bffb19de8b75bed5be9a59c04f8d2a9a2b0ee233626cc3c0bf2981e2b	178	negative	manual-adversarial	MalformedOutput	175	byte-exact hostile input generated from reviewed Python bytes
N22-utf8-overlong	raw/N22-utf8-overlong.bin	75913f54b166e36c3eb2257f772e23570efe0d2c37d8a6bc597944faa95ce2bf	178	negative	manual-adversarial	MalformedOutput	175	byte-exact hostile input generated from reviewed Python bytes
N23-utf8-surrogate	raw/N23-utf8-surrogate.bin	ca9c98c1df251629b408c7a229a8273abf0244956ff1ed27e38319e5df943102	179	negative	manual-adversarial	MalformedOutput	175	byte-exact hostile input generated from reviewed Python bytes
N24-utf8-above-range	raw/N24-utf8-above-range.bin	7a7cb171e5bc275bb54a5ce1b47287a06e52247191a3a602d43a1c2bb03b659f	180	negative	manual-adversarial	MalformedOutput	175	byte-exact hostile input generated from reviewed Python bytes
N25-utf8-section	raw/N25-utf8-section.bin	6e163b14664a673146116b152e380660a92ca48afbd3a21bc180c270660108a0	176	negative	manual-adversarial	MalformedOutput	171	byte-exact hostile input generated from reviewed Python bytes
N26-utf8-path	raw/N26-utf8-path.bin	6db5c8b2b3296e8596d475e17379e56df795ec6aee7ffd871002ead84aba1819	171	negative	manual-adversarial	MalformedOutput	13	byte-exact hostile input generated from reviewed Python bytes
N27-nul-payload	raw/N27-nul-payload.bin	bfc2844341f1ab3c9bf1a5389414df2c70c297b4d0a097c0311b42231cfbd737	179	negative	manual-adversarial	MalformedOutput	176	byte-exact hostile input generated from reviewed Python bytes
N28-nul-path	raw/N28-nul-path.bin	1b236004be9a8f59241937ed7b702e52045c8f00f6174876b89f8948180cb327	175	negative	manual-adversarial	MalformedOutput	15	byte-exact hostile input generated from reviewed Python bytes
N29-nul-section	raw/N29-nul-section.bin	79769e41b4f03b2080230604879a51c1aac79d83fca0f8876e677978d0b1c802	177	negative	manual-adversarial	MalformedOutput	172	byte-exact hostile input generated from reviewed Python bytes
N30-nul-between-records	raw/N30-nul-between-records.bin	8769004e75d2e35444e2be9da0bfaa53a6aebbb38ac65c2301fd83041ba455f5	180	negative	manual-adversarial	MalformedOutput	174	byte-exact hostile input generated from reviewed Python bytes
N31-nul-trailing	raw/N31-nul-trailing.bin	62481a132af818106fb3e2ca85c0695603c47f7d7aa5cb657da3fbca5df46656	180	negative	manual-adversarial	MalformedOutput	179	byte-exact hostile input generated from reviewed Python bytes
N32-esc-lone	raw/N32-esc-lone.bin	08ccabdabff5a49d0506979308f357a5cc6a598ddd6626ad56d8cfb6919ad4f2	179	negative	manual-adversarial	MalformedOutput	176	byte-exact hostile input generated from reviewed Python bytes
N33-esc-csi	raw/N33-esc-csi.bin	efa8e80a206cacbc71462da6bf595f23edc8fb5d6ccee1c7670aaf70462cbf2a	188	negative	manual-adversarial	MalformedOutput	175	byte-exact hostile input generated from reviewed Python bytes
N34-esc-header	raw/N34-esc-header.bin	82ae9fed27935a5b732b43d5d1399efd5cb493aef971389ffdb2cebdcd9578a3	179	negative	manual-adversarial	MalformedOutput	0	byte-exact hostile input generated from reviewed Python bytes
N35-esc-hunk	raw/N35-esc-hunk.bin	41e7d15884701825086eb3983035d37a5181631506d91ebcbaae65a1f8f79347	179	negative	manual-adversarial	MalformedOutput	159	byte-exact hostile input generated from reviewed Python bytes
N36-esc-osc	raw/N36-esc-osc.bin	1e264e8885637d6454e04f0e59c48fda18e457fad7c8ec55b6dacbdfb28f7119	187	negative	manual-adversarial	MalformedOutput	175	byte-exact hostile input generated from reviewed Python bytes
N37-c0-01	raw/N37-c0-01.bin	e3b2e864d61efdeae7267eba60eab67f4f76d0e3c378488be93b75ea9cb182cf	178	negative	manual-adversarial	MalformedOutput	176	byte-exact hostile input generated from reviewed Python bytes
N38-c0-07	raw/N38-c0-07.bin	cb72cb56045df60c1d89c3a72db955f6101fb6d470a04791581dca99134fd0f9	178	negative	manual-adversarial	MalformedOutput	176	byte-exact hostile input generated from reviewed Python bytes
N39-c0-08	raw/N39-c0-08.bin	2b9ff4529e21884771e761197d311b3c4b09533c6a9b7621e56647a745ee0caa	178	negative	manual-adversarial	MalformedOutput	176	byte-exact hostile input generated from reviewed Python bytes
N40-c0-0b	raw/N40-c0-0b.bin	553a71d9700d4fd1a6c1addb373fb3992f636492146adfa478c1c03bdf49470c	178	negative	manual-adversarial	MalformedOutput	176	byte-exact hostile input generated from reviewed Python bytes
N41-c0-0c	raw/N41-c0-0c.bin	e68a1b33ec94f4b2be866ce9bc8427b0d1d711ac902de865bc8ec91a8945eacc	178	negative	manual-adversarial	MalformedOutput	176	byte-exact hostile input generated from reviewed Python bytes
N42-c0-0e	raw/N42-c0-0e.bin	7c48ec672ccf5fd558c057fa5615d66a71f16ba3aa6f9ee674fdef44bcef9f81	178	negative	manual-adversarial	MalformedOutput	176	byte-exact hostile input generated from reviewed Python bytes
N43-c0-1f	raw/N43-c0-1f.bin	817936d4563a2c4469edcea83503b9736fb12c742ca5b5dc79ca9f4a5200c33e	178	negative	manual-adversarial	MalformedOutput	176	byte-exact hostile input generated from reviewed Python bytes
N44-bidi-202a	raw/N44-bidi-202a.bin	644809d45a98303434854ee6a18217dfdd1c555a2b6ae4f44d449b4b5985e0b4	180	negative	manual-adversarial	MalformedOutput	176	byte-exact hostile input generated from reviewed Python bytes
